,Team,Off_Rating,Def_Rating,Year,NBA Champion,Normalized_Off_Rating,Normalized_Def_Rating
0,Atlanta Hawks,106.4,100.3,1996,False,0.5488721804511282,0.9051724137931039
1,Boston Celtics,102.9,110.1,1996,False,0.2857142857142863,0.060344827586207184
2,Charlotte Hornets,109.1,107.1,1996,False,0.7518796992481197,0.31896551724137967
3,Chicago Bulls,112.4,100.7,1996,True,1.0,0.8706896551724137
4,Cleveland Cavaliers,102.7,100.8,1996,False,0.27067669172932374,0.8620689655172418
5,Dallas Mavericks,99.5,106.0,1996,False,0.030075187969925213,0.4137931034482758
6,Denver Nuggets,103.1,109.7,1996,False,0.3007518796992479,0.09482758620689613
7,Detroit Pistons,108.5,102.6,1996,False,0.7067669172932329,0.7068965517241386
8,Golden State Warriors,105.3,110.3,1996,False,0.4661654135338344,0.0431034482758621
9,Houston Rockets,107.5,102.8,1996,False,0.6315789473684209,0.6896551724137934
10,Indiana Pacers,104.2,102.9,1996,False,0.38345864661654167,0.6810344827586203
11,Los Angeles Clippers,103.5,106.2,1996,False,0.3308270676691731,0.3965517241379307
12,Los Angeles Lakers,106.4,102.3,1996,False,0.5488721804511282,0.7327586206896555
13,Miami Heat,105.2,99.2,1996,False,0.45864661654135364,1.0
14,Milwaukee Bucks,104.7,106.7,1996,False,0.4210526315789476,0.3534482758620686
15,Minnesota Timberwolves,103.9,105.5,1996,False,0.3609022556390983,0.4568965517241379
16,New Jersey Nets,102.4,107.2,1996,False,0.24812030075188035,0.3103448275862065
17,New York Knicks,102.9,99.5,1996,False,0.2857142857142863,0.974137931034483
18,Orlando Magic,103.8,104.2,1996,False,0.35338345864661647,0.5689655172413791
19,Philadelphia 76ers,102.6,109.5,1996,False,0.26315789473684187,0.11206896551724121
20,Phoenix Suns,108.0,107.1,1996,False,0.669172932330827,0.31896551724137967
21,Portland Trail Blazers,106.3,102.1,1996,False,0.5413533834586464,0.7500000000000007
22,Sacramento Kings,102.7,107.0,1996,False,0.27067669172932374,0.3275862068965516
23,San Antonio Spurs,102.1,110.8,1996,False,0.2255639097744359,0.0
24,Seattle SuperSonics,109.6,101.0,1996,False,0.7894736842105257,0.8448275862068967
25,Toronto Raptors,102.9,106.4,1996,False,0.2857142857142863,0.37931034482758563
26,Utah Jazz,112.4,102.6,1996,False,1.0,0.7068965517241386
27,Vancouver Grizzlies,99.1,110.1,1996,False,0.0,0.060344827586207184
28,Washington Bullets,105.2,103.7,1996,False,0.45864661654135364,0.6120689655172412
29,Atlanta Hawks,106.4,100.3,1997,False,0.5488721804511282,0.9051724137931039
30,Boston Celtics,102.9,110.1,1997,False,0.2857142857142863,0.060344827586207184
31,Charlotte Hornets,109.1,107.1,1997,False,0.7518796992481197,0.31896551724137967
32,Chicago Bulls,112.4,100.7,1997,True,1.0,0.8706896551724137
33,Cleveland Cavaliers,102.7,100.8,1997,False,0.27067669172932374,0.8620689655172418
34,Dallas Mavericks,99.5,106.0,1997,False,0.030075187969925213,0.4137931034482758
35,Denver Nuggets,103.1,109.7,1997,False,0.3007518796992479,0.09482758620689613
